"id","tu","name","kurzer_name","anzahl_ausfaelle","id_vmkat","vmkat","anzahl_linien","ausfall_grund"
98,SMC, Compagnie de Chemin de Fer et d'Autobus Sierre-Mon,Bahn Montana,2966,"3",Bahn - Überland/Berg,2,Keine Daten
99,TPF, Transports publics fribourgeois SA,Bus Fribourg,2948,"1",Bus - Überland/Berg,6,Status Unbekannt Teilstrecke
100,AAGU, AUTO AG URI,Bus Uri,2943,"1",Bus - Überland/Berg,9,Keine Daten
101,TPN, TPN Transports publics de la Région Nyonnaise SA,Bus Nyon,2787,"1",Bus - Überland/Berg,4,Status Unbekannt
102,STI, STI Bus AG,Verkehrsbetriebe Steffisburg-Thun-Interlaken,2640,"1",Bus - Überland/Berg,24,Status Unbekannt Teilstrecke
103,BVB, Basler Verkehrs-Betriebe,Basler Verkehrs,2299,"2",Bus - Agglomeration,3,Keine Daten
104,TPN, TPN Transports publics de la Région Nyonnaise SA,Bus Nyon,2060,"1",Bus - Überland/Berg,4,Keine Daten
105,MBC, Transports de la région Morges-Bière-Cossonay SA,Bahn MBC,2052,"3",Bahn - Überland/Berg,9,Keine Daten
106,ZVB, Zugerland Verkehrsbetriebe AG,Bus Zug,2037,"1",Bus - Überland/Berg,21,Status Unbekannt Teilstrecke
107,RBS, Regionalverkehr Bern-Solothurn AG,Regionalverkehr Bern-Solothurn,2010,"2",Bus - Agglomeration,13,Status Unbekannt Teilstrecke
108,TMR, TMR Transports de Martigny et Régions SA,Bus Wallis,1975,"1",Bus - Überland/Berg,4,Status Unbekannt
109,AAGL, Autobus AG Liestal Öffentlicher Verkehr,Bus Liestal,1954,"1",Bus - Überland/Berg,6,Keine Daten
110,VBL, Verkehrsbetriebe Luzern AG,Bus Luzern,1935,"2",Bus - Agglomeration,2,Ausfall ganze Fahrt
111,BSU, Busbetrieb Solothurn und Umgebung AG,Bus Solothurn,1863,"2",Bus - Agglomeration,13,Ausfall ganze Fahrt
112,BLS, BLS AG,Bern-Lötschberg-Simplon-Bahn,1855,"4",Bahn - Überland/Regionalverkehr,31,Keine Daten
113,SBW, Stadt Winterthur,Bus Winterthur,1792,"1",Bus - Überland/Berg,4,Keine Daten
114,RBL, Regionalbus Lenzburg AG,Bus Lenzburg,1698,"1",Bus - Überland/Berg,7,Keine Daten
115,REGO, Regiobus (St. Gallen),Regiobus St. Gallen,1648,"1",Bus - Überland/Berg,8,Ausfall ganze Fahrt
116,ZVB, Zugerland Verkehrsbetriebe AG,Bus Zug,1597,"1",Bus - Überland/Berg,15,Keine Daten Teilstrecke
117,GWB, Grindelwald Bus AG,Grindelwald Bus,1574,"1",Bus - Überland/Berg,3,Keine Daten
118,FART, Società per le Ferrovie Autolinee Regionali Ticine,Bus Tessin,1551,"1",Bus - Überland/Berg,8,Keine Daten
119,TPF, Transports publics fribourgeois SA,Bus Fribourg,1493,"1",Bus - Überland/Berg,6,Ausfall ganze Fahrt
120,BVB, Basler Verkehrs-Betriebe,Basler Verkehrs,1436,"2",Bus - Agglomeration,2,Keine Daten Teilstrecke
121,LLB, Société anonyme des transports publics de Loèche-l,Bus Leuk,1412,"1",Bus - Überland/Berg,8,Keine Daten
122,AB, Appenzeller Bahnen AG,Appenzeller Bahnen,1344,"3",Bahn - Überland/Berg,7,Ausfall ganze Fahrt
123,BVB, Basler Verkehrs-Betriebe,Basler Verkehrs,1344,"2",Bus - Agglomeration,3,Status Unbekannt Teilstrecke
124,TSD, Theytaz Excursions SA,Theytaz,1332,"1",Bus - Überland/Berg,2,Status Unbekannt
125,FART, Società per le Ferrovie Autolinee Regionali Ticine,Bus Tessin,1322,"1",Bus - Überland/Berg,3,Keine Daten Teilstrecke
126,AAGS, Auto AG Schwyz,Bus Schwyz,1273,"1",Bus - Überland/Berg,8,Keine Daten Teilstrecke
127,SOB, Schweizerische Südostbahn AG,Südostbahn,1255,"4",Bahn - Überland/Regionalverkehr,7,Ausfall ganze Fahrt
128,SBW, Stadt Winterthur,Bus Winterthur,1236,"1",Bus - Überland/Berg,4,Ausfall ganze Fahrt
129,asm, Aare Seeland mobil AG,Bus Aare Seeland,1178,"1",Bus - Überland/Berg,8,Keine Daten Teilstrecke
130,SVB, Städtische Verkehrsbetriebe Bern (SVB),Bernmobil,1175,"2",Bus - Agglomeration,19,Keine Daten Teilstrecke
131,THURBO, Thurbo AG,Thurbo,1168,"4",Bahn - Überland/Regionalverkehr,22,Keine Daten
132,TPC, Transports Publics du Chablais SA,Bus Chablais ,1160,"1",Bus - Überland/Berg,9,Ausfall ganze Fahrt
133,zb, zb Zentralbahn AG,Zentralbahn,1126,"3",Bahn - Überland/Berg,7,Keine Daten
134,RA, REGIONALPS SA ,Regionalps,1100,"4",Bahn - Überland/Regionalverkehr,2,Status Unbekannt Teilstrecke
135,BuS, Bus und Service AG,BuS AG,1088,"1",Bus - Überland/Berg,4,Status Unbekannt Teilstrecke
136,BGU, BGU Busbetrieb Grenchen und Umgebung AG,Bus Grenchen,1082,"2",Bus - Agglomeration,12,Ausfall ganze Fahrt
137,VBSG, Stadt St. Gallen,Bus St.Gallen,1009,"2",Bus - Agglomeration,8,Keine Daten Teilstrecke
138,ASGS," René Ballestraz et fils, transports SA",Bus René Ballestraz,996,"1",Bus - Überland/Berg,1,Keine Daten
139,asm, Aare Seeland mobil AG,Bus Aare Seeland,978,"1",Bus - Überland/Berg,15,Ausfall ganze Fahrt
140,BBA, Busbetrieb Aarau AG (BBA),Bus Aarau,968,"2",Bus - Agglomeration,3,Keine Daten
