"id","tu","name","kurzer_name","anzahl_ausfaelle","id_vmkat","vmkat","anzahl_linien","tag"
481,zb, zb Zentralbahn AG,Zentralbahn,169,"3",Bahn - Überland/Berg,5,Freitag
482,SNL, SOCIETA' NAVIGAZIONE DEL LAGO DI LUGANO SA,Bus Lugano,167,"4",Bus - Überland/Berg,2,Donnerstag
483,WAB, Wengernalpbahn AG,Wengernalpbahn,167,"3",Bahn - Überland/Berg,1,Montag
484,ABl, Autolinee Bleniesi SA,Bus Bleniesi,159,"1",Bus - Überland/Berg,5,Dienstag
485,BOB, Berner Oberland-Bahnen AG,Berner Oberbland,159,"3",Bahn - Überland/Berg,2,Sonntag
486,zb, zb Zentralbahn AG,Zentralbahn,159,"3",Bahn - Überland/Berg,4,Mittwoch
487,zb, zb Zentralbahn AG,Zentralbahn,158,"3",Bahn - Überland/Berg,5,Sonntag
488,BBA, Busbetrieb Aarau AG (BBA),Bus Aarau,154,"2",Bus - Agglomeration,3,Montag
489,BLWE, Genossenschaft Busbetrieb Lichtensteig-Wattwil-Ebn,Bus Wattwil,152,"1",Bus - Überland/Berg,1,Dienstag
490,LLB, Société anonyme des transports publics de Loèche-l,Bus Leuk,152,"1",Bus - Überland/Berg,5,Samstag
491,SOB, Schweizerische Südostbahn AG,Südostbahn,146,"4",Bahn - Überland/Regionalverkehr,7,Freitag
492,AAGL, Autobus AG Liestal Öffentlicher Verkehr,Bus Liestal,142,"1",Bus - Überland/Berg,6,Sonntag
493,SNL, SOCIETA' NAVIGAZIONE DEL LAGO DI LUGANO SA,Bus Lugano,142,"4",Bus - Überland/Berg,1,Samstag
494,AAGL, Autobus AG Liestal Öffentlicher Verkehr,Bus Liestal,141,"1",Bus - Überland/Berg,6,Montag
495,BWS, Busbetriebe Bamert GmbH,Bus Bamert,138,"1",Bus - Überland/Berg,1,Dienstag
496,AAGL, Autobus AG Liestal Öffentlicher Verkehr,Bus Liestal,132,"1",Bus - Überland/Berg,6,Freitag
497,AFA, Automobilverkehr Frutigen-Adelboden AG,Bus Frutigen,132,"1",Bus - Überland/Berg,6,Freitag
498,BCS, Commune de Sion,Bus Sion,131,"1",Bus - Überland/Berg,4,Freitag
499,BBA, Busbetrieb Aarau AG (BBA),Bus Aarau,124,"2",Bus - Agglomeration,3,Mittwoch
500,FART, Società per le Ferrovie Autolinee Regionali Ticine,Bus Tessin,122,"1",Bus - Überland/Berg,2,Samstag
501,AFA, Automobilverkehr Frutigen-Adelboden AG,Bus Frutigen,120,"1",Bus - Überland/Berg,6,Mittwoch
502,ABl, Autolinee Bleniesi SA,Bus Bleniesi,117,"1",Bus - Überland/Berg,5,Samstag
503,BCS, Commune de Sion,Bus Sion,117,"1",Bus - Überland/Berg,4,Donnerstag
504,BCS, Commune de Sion,Bus Sion,116,"1",Bus - Überland/Berg,4,Samstag
505,WAB, Wengernalpbahn AG,Wengernalpbahn,111,"3",Bahn - Überland/Berg,1,Sonntag
506,RhB, Rhätische Bahn AG  (RhB),Rhätische Bahn,109,"4",Bahn - Überland/Regionalverkehr,9,Mittwoch
507,BOB, Berner Oberland-Bahnen AG,Berner Oberbland,102,"3",Bahn - Überland/Berg,2,Dienstag
508,AAGL, Autobus AG Liestal Öffentlicher Verkehr,Bus Liestal,100,"1",Bus - Überland/Berg,6,Samstag
509,BCS, Commune de Sion,Bus Sion,96,"1",Bus - Überland/Berg,4,Mittwoch
510,AWA, Ortsgemeinde Amden,Bus Amden,90,"1",Bus - Überland/Berg,1,Montag
511,BBA, Busbetrieb Aarau AG (BBA),Bus Aarau,90,"2",Bus - Agglomeration,3,Samstag
512,AWA, Ortsgemeinde Amden,Bus Amden,88,"1",Bus - Überland/Berg,1,Dienstag
513,BOB, Berner Oberland-Bahnen AG,Berner Oberbland,86,"3",Bahn - Überland/Berg,2,Freitag
514,BOB, Berner Oberland-Bahnen AG,Berner Oberbland,84,"3",Bahn - Überland/Berg,2,Donnerstag
515,RVBW, Regionale Verkehrsbetriebe Baden-Wettingen (RVBW) ,Bus Baden,82,"2",Bus - Agglomeration,2,Montag
516,BWS, Busbetriebe Bamert GmbH,Bus Bamert,81,"1",Bus - Überland/Berg,1,Samstag
517,RVBW, Regionale Verkehrsbetriebe Baden-Wettingen (RVBW) ,Bus Baden,79,"2",Bus - Agglomeration,2,Sonntag
518,SNL, SOCIETA' NAVIGAZIONE DEL LAGO DI LUGANO SA,Bus Lugano,79,"4",Bus - Überland/Berg,2,Freitag
519,RhB, Rhätische Bahn AG  (RhB),Rhätische Bahn,78,"4",Bahn - Überland/Regionalverkehr,10,Montag
520,BCS, Commune de Sion,Bus Sion,77,"1",Bus - Überland/Berg,4,Montag
521,WAB, Wengernalpbahn AG,Wengernalpbahn,77,"3",Bahn - Überland/Berg,1,Dienstag
522,SNL, SOCIETA' NAVIGAZIONE DEL LAGO DI LUGANO SA,Bus Lugano,70,"4",Bus - Überland/Berg,2,Montag
523,BOB, Berner Oberland-Bahnen AG,Berner Oberbland,69,"3",Bahn - Überland/Berg,2,Mittwoch
524,RhB, Rhätische Bahn AG  (RhB),Rhätische Bahn,67,"4",Bahn - Überland/Regionalverkehr,9,Freitag
525,AFA, Automobilverkehr Frutigen-Adelboden AG,Bus Frutigen,66,"1",Bus - Überland/Berg,5,Sonntag
526,AFA, Automobilverkehr Frutigen-Adelboden AG,Bus Frutigen,65,"1",Bus - Überland/Berg,6,Donnerstag
527,AFA, Automobilverkehr Frutigen-Adelboden AG,Bus Frutigen,65,"1",Bus - Überland/Berg,6,Montag
528,RhB, Rhätische Bahn AG  (RhB),Rhätische Bahn,64,"4",Bahn - Überland/Regionalverkehr,9,Sonntag
529,BRER, O. Schneider AG,Bus Schneider,61,"1",Bus - Überland/Berg,2,Sonntag
530,BLWE, Genossenschaft Busbetrieb Lichtensteig-Wattwil-Ebn,Bus Wattwil,60,"1",Bus - Überland/Berg,1,Mittwoch
531,BRER, O. Schneider AG,Bus Schneider,60,"1",Bus - Überland/Berg,3,Montag
532,SNL, SOCIETA' NAVIGAZIONE DEL LAGO DI LUGANO SA,Bus Lugano,60,"4",Bus - Überland/Berg,2,Dienstag
533,ABl, Autolinee Bleniesi SA,Bus Bleniesi,53,"1",Bus - Überland/Berg,5,Donnerstag
534,BCS, Commune de Sion,Bus Sion,52,"1",Bus - Überland/Berg,4,Dienstag
535,BLWE, Genossenschaft Busbetrieb Lichtensteig-Wattwil-Ebn,Bus Wattwil,52,"1",Bus - Überland/Berg,1,Donnerstag
536,RVBW, Regionale Verkehrsbetriebe Baden-Wettingen (RVBW) ,Bus Baden,52,"2",Bus - Agglomeration,2,Samstag
537,SNL, SOCIETA' NAVIGAZIONE DEL LAGO DI LUGANO SA,Bus Lugano,52,"4",Bus - Überland/Berg,2,Mittwoch
538,BWS, Busbetriebe Bamert GmbH,Bus Bamert,37,"1",Bus - Überland/Berg,1,Mittwoch
539,BRER, O. Schneider AG,Bus Schneider,34,"1",Bus - Überland/Berg,3,Freitag
540,RhB, Rhätische Bahn AG  (RhB),Rhätische Bahn,34,"4",Bahn - Überland/Regionalverkehr,11,Samstag
541,BLWE, Genossenschaft Busbetrieb Lichtensteig-Wattwil-Ebn,Bus Wattwil,33,"1",Bus - Überland/Berg,1,Montag
542,WAB, Wengernalpbahn AG,Wengernalpbahn,33,"3",Bahn - Überland/Berg,1,Donnerstag
543,BWS, Busbetriebe Bamert GmbH,Bus Bamert,31,"1",Bus - Überland/Berg,1,Donnerstag
544,AWA, Ortsgemeinde Amden,Bus Amden,30,"1",Bus - Überland/Berg,1,Donnerstag
545,AWA, Ortsgemeinde Amden,Bus Amden,30,"1",Bus - Überland/Berg,1,Sonntag
546,AWA, Ortsgemeinde Amden,Bus Amden,29,"1",Bus - Überland/Berg,1,Mittwoch
547,BWS, Busbetriebe Bamert GmbH,Bus Bamert,29,"1",Bus - Überland/Berg,1,Montag
548,BWS, Busbetriebe Bamert GmbH,Bus Bamert,28,"1",Bus - Überland/Berg,1,Sonntag
549,BLWE, Genossenschaft Busbetrieb Lichtensteig-Wattwil-Ebn,Bus Wattwil,27,"1",Bus - Überland/Berg,1,Freitag
550,BCS, Commune de Sion,Bus Sion,22,"1",Bus - Überland/Berg,4,Sonntag
551,BWS, Busbetriebe Bamert GmbH,Bus Bamert,21,"1",Bus - Überland/Berg,1,Freitag
552,AWA, Ortsgemeinde Amden,Bus Amden,17,"1",Bus - Überland/Berg,1,Freitag
553,BLWE, Genossenschaft Busbetrieb Lichtensteig-Wattwil-Ebn,Bus Wattwil,17,"1",Bus - Überland/Berg,1,Sonntag
554,BRER, O. Schneider AG,Bus Schneider,10,"1",Bus - Überland/Berg,1,Samstag
555,ABl, Autolinee Bleniesi SA,Bus Bleniesi,8,"1",Bus - Überland/Berg,4,Freitag
556,WAB, Wengernalpbahn AG,Wengernalpbahn,6,"3",Bahn - Überland/Berg,1,Mittwoch
557,AWA, Ortsgemeinde Amden,Bus Amden,4,"1",Bus - Überland/Berg,1,Samstag
558,BLWE, Genossenschaft Busbetrieb Lichtensteig-Wattwil-Ebn,Bus Wattwil,4,"1",Bus - Überland/Berg,1,Samstag
559,ABl, Autolinee Bleniesi SA,Bus Bleniesi,2,"1",Bus - Überland/Berg,1,Mittwoch
560,AFA, Automobilverkehr Frutigen-Adelboden AG,Bus Frutigen,2,"1",Bus - Überland/Berg,1,Samstag
