"id","tu","name","kurzer_name","anzahl_ausfaelle","id_vmkat","vmkat","anzahl_linien","tag"
72,MBC, Transports de la région Morges-Bière-Cossonay SA,Bahn MBC,4804,"3",Bahn - Überland/Berg,9,Dienstag
73,VB, Verkehrsbetriebe Biel,Bus Biel,4738,"1",Bus - Überland/Berg,11,Sonntag
74,VBZ, Stadt Zürich,Bus Zürich,4738,"1",Bus - Überland/Berg,18,Mittwoch
75,TRAVYS, TRAVYS - Transports Vallée-de-Joux - Yverdon-les-B,Bus Yverdon,4719,"1",Bus - Überland/Berg,9,Donnerstag
76,BLAG, Busland AG,Busland,4676,"1",Bus - Überland/Berg,20,Mittwoch
77,TMR, TMR Transports de Martigny et Régions SA,Bus Wallis,4675,"1",Bus - Überland/Berg,8,Samstag
78,TMR, TMR Transports de Martigny et Régions SA,Bus Wallis,4662,"1",Bus - Überland/Berg,8,Sonntag
79,BOGG, Busbetrieb Olten Gösgen Gäu AG,Bus Olten,4500,"2",Bus - Agglomeration,12,Dienstag
80,BOGG, Busbetrieb Olten Gösgen Gäu AG,Bus Olten,4470,"2",Bus - Agglomeration,12,Montag
81,BOGG, Busbetrieb Olten Gösgen Gäu AG,Bus Olten,4435,"2",Bus - Agglomeration,12,Donnerstag
82,VBZ, Stadt Zürich,Bus Zürich,4427,"1",Bus - Überland/Berg,18,Montag
83,MBC, Transports de la région Morges-Bière-Cossonay SA,Bahn MBC,4378,"3",Bahn - Überland/Berg,9,Mittwoch
84,VBG, VBG Verkehrsbetriebe Glattal AG,Bus Glattal,4372,"1",Bus - Überland/Berg,21,Freitag
85,VZO, Verkehrsbetriebe Zürichsee und Oberland (VZO) AG,Bus Zürichsee,4371,"2",Bus - Agglomeration,22,Donnerstag
86,BOGG, Busbetrieb Olten Gösgen Gäu AG,Bus Olten,4364,"2",Bus - Agglomeration,10,Sonntag
87,TRN, Transports Publics Neuchâtelois SA,Bus Neuchatel,4344,"1",Bus - Überland/Berg,10,Samstag
88,TPL, TRASPORTI PUBBLICI LUGANESI SA (TPL),Lugano Bus,4314,"1",Bus - Überland/Berg,8,Sonntag
89,MBC, Transports de la région Morges-Bière-Cossonay SA,Bahn MBC,4300,"3",Bahn - Überland/Berg,9,Montag
90,ZVB, Zugerland Verkehrsbetriebe AG,Bus Zug,4270,"1",Bus - Überland/Berg,22,Mittwoch
91,BOGG, Busbetrieb Olten Gösgen Gäu AG,Bus Olten,4133,"2",Bus - Agglomeration,12,Freitag
92,VZO, Verkehrsbetriebe Zürichsee und Oberland (VZO) AG,Bus Zürichsee,4128,"2",Bus - Agglomeration,22,Mittwoch
93,VZO, Verkehrsbetriebe Zürichsee und Oberland (VZO) AG,Bus Zürichsee,4124,"2",Bus - Agglomeration,22,Montag
94,BLT, BLT Baselland Transport AG,Bus Baselland,4116,"1",Bus - Überland/Berg,17,Dienstag
95,TRAVYS, TRAVYS - Transports Vallée-de-Joux - Yverdon-les-B,Bus Yverdon,4032,"1",Bus - Überland/Berg,9,Freitag
96,VBZ, Stadt Zürich,Bus Zürich,4019,"1",Bus - Überland/Berg,14,Sonntag
97,STI, STI Bus AG,Verkehrsbetriebe Steffisburg-Thun-Interlaken,4003,"1",Bus - Überland/Berg,24,Dienstag
98,VBD, Landschaft Davos,Bus Davos,3961,"1",Bus - Überland/Berg,3,Samstag
99,BOGG, Busbetrieb Olten Gösgen Gäu AG,Bus Olten,3956,"2",Bus - Agglomeration,12,Mittwoch
100,TRN, Transports Publics Neuchâtelois SA,Bus Neuchatel,3778,"1",Bus - Überland/Berg,9,Sonntag
101,BLAG, Busland AG,Busland,3769,"1",Bus - Überland/Berg,20,Freitag
102,AB, Appenzeller Bahnen AG,Appenzeller Bahnen,3734,"3",Bahn - Überland/Berg,7,Freitag
103,TRAVYS, TRAVYS - Transports Vallée-de-Joux - Yverdon-les-B,Bus Yverdon,3719,"1",Bus - Überland/Berg,9,Dienstag
104,VBD, Landschaft Davos,Bus Davos,3700,"1",Bus - Überland/Berg,3,Dienstag
105,VBSG, Stadt St. Gallen,Bus St.Gallen,3677,"2",Bus - Agglomeration,15,Donnerstag
106,SVB, Städtische Verkehrsbetriebe Bern (SVB),Bernmobil,3665,"2",Bus - Agglomeration,31,Samstag
107,BOGG, Busbetrieb Olten Gösgen Gäu AG,Bus Olten,3655,"2",Bus - Agglomeration,9,Samstag
108,BLAG, Busland AG,Busland,3647,"1",Bus - Überland/Berg,20,Donnerstag
109,VBD, Landschaft Davos,Bus Davos,3637,"1",Bus - Überland/Berg,3,Donnerstag
110,VBZ, Stadt Zürich,Bus Zürich,3609,"1",Bus - Überland/Berg,16,Samstag
111,VBG, VBG Verkehrsbetriebe Glattal AG,Bus Glattal,3602,"1",Bus - Überland/Berg,21,Dienstag
112,SVB, Städtische Verkehrsbetriebe Bern (SVB),Bernmobil,3601,"2",Bus - Agglomeration,33,Montag
113,ZVB, Zugerland Verkehrsbetriebe AG,Bus Zug,3593,"1",Bus - Überland/Berg,22,Donnerstag
114,TRAVYS, TRAVYS - Transports Vallée-de-Joux - Yverdon-les-B,Bus Yverdon,3574,"1",Bus - Überland/Berg,9,Montag
115,SVB, Städtische Verkehrsbetriebe Bern (SVB),Bernmobil,3569,"2",Bus - Agglomeration,33,Freitag
116,VBD, Landschaft Davos,Bus Davos,3543,"1",Bus - Überland/Berg,3,Mittwoch
117,VBD, Landschaft Davos,Bus Davos,3539,"1",Bus - Überland/Berg,3,Montag
118,VBD, Landschaft Davos,Bus Davos,3530,"1",Bus - Überland/Berg,3,Freitag
119,AB, Appenzeller Bahnen AG,Appenzeller Bahnen,3529,"3",Bahn - Überland/Berg,7,Donnerstag
120,SVB, Städtische Verkehrsbetriebe Bern (SVB),Bernmobil,3444,"2",Bus - Agglomeration,25,Sonntag
121,VBD, Landschaft Davos,Bus Davos,3365,"1",Bus - Überland/Berg,3,Sonntag
122,VB, Verkehrsbetriebe Biel,Bus Biel,3322,"1",Bus - Überland/Berg,11,Montag
123,BSU, Busbetrieb Solothurn und Umgebung AG,Bus Solothurn,3320,"2",Bus - Agglomeration,13,Montag
124,VBSH, Stadt Schaffhausen,Bus Schaffhausen,3317,"1",Bus - Überland/Berg,7,Montag
125,VBSG, Stadt St. Gallen,Bus St.Gallen,3305,"2",Bus - Agglomeration,15,Dienstag
126,AB, Appenzeller Bahnen AG,Appenzeller Bahnen,3303,"3",Bahn - Überland/Berg,7,Dienstag
127,AB, Appenzeller Bahnen AG,Appenzeller Bahnen,3287,"3",Bahn - Überland/Berg,7,Mittwoch
128,VBSH, Stadt Schaffhausen,Bus Schaffhausen,3286,"1",Bus - Überland/Berg,7,Dienstag
129,MBC, Transports de la région Morges-Bière-Cossonay SA,Bahn MBC,3285,"3",Bahn - Überland/Berg,9,Samstag
130,VB, Verkehrsbetriebe Biel,Bus Biel,3235,"1",Bus - Überland/Berg,11,Dienstag
131,VBSH, Stadt Schaffhausen,Bus Schaffhausen,3178,"1",Bus - Überland/Berg,7,Freitag
132,TRAVYS, TRAVYS - Transports Vallée-de-Joux - Yverdon-les-B,Bus Yverdon,3157,"1",Bus - Überland/Berg,9,Mittwoch
133,AB, Appenzeller Bahnen AG,Appenzeller Bahnen,3112,"3",Bahn - Überland/Berg,7,Montag
134,BLAG, Busland AG,Busland,3096,"1",Bus - Überland/Berg,20,Montag
135,STI, STI Bus AG,Verkehrsbetriebe Steffisburg-Thun-Interlaken,3069,"1",Bus - Überland/Berg,24,Mittwoch
136,TRAVYS, TRAVYS - Transports Vallée-de-Joux - Yverdon-les-B,Bus Yverdon,3054,"1",Bus - Überland/Berg,9,Samstag
137,VBSH, Stadt Schaffhausen,Bus Schaffhausen,3053,"1",Bus - Überland/Berg,7,Mittwoch
138,TPL, TRASPORTI PUBBLICI LUGANESI SA (TPL),Lugano Bus,3034,"1",Bus - Überland/Berg,9,Montag
139,VBSH, Stadt Schaffhausen,Bus Schaffhausen,3010,"1",Bus - Überland/Berg,7,Donnerstag
140,TPF, Transports publics fribourgeois SA,Bus Fribourg,2957,"1",Bus - Überland/Berg,58,Dienstag
141,SZU, Sihltal Zürich Uetliberg Bahn SZU AG,Bahn Sihltal,2953,"1",Bus - Überland/Berg,8,Dienstag
142,VBG, VBG Verkehrsbetriebe Glattal AG,Bus Glattal,2925,"1",Bus - Überland/Berg,15,Sonntag
143,VBSH, Stadt Schaffhausen,Bus Schaffhausen,2923,"1",Bus - Überland/Berg,7,Sonntag
144,ABG, Alsa Bustours Gex S.A.S,Bustour Genf,2907,"1",Bus - Überland/Berg,2,Dienstag
145,RBS, Regionalverkehr Bern-Solothurn AG,Regionalverkehr Bern-Solothurn,2887,"2",Bus - Agglomeration,17,Sonntag
146,VBG, VBG Verkehrsbetriebe Glattal AG,Bus Glattal,2883,"1",Bus - Überland/Berg,21,Donnerstag
147,ABG, Alsa Bustours Gex S.A.S,Bustour Genf,2872,"1",Bus - Überland/Berg,2,Donnerstag
148,ABG, Alsa Bustours Gex S.A.S,Bustour Genf,2872,"1",Bus - Überland/Berg,2,Freitag
149,ABG, Alsa Bustours Gex S.A.S,Bustour Genf,2850,"1",Bus - Überland/Berg,2,Mittwoch
150,TPL, TRASPORTI PUBBLICI LUGANESI SA (TPL),Lugano Bus,2823,"1",Bus - Überland/Berg,8,Samstag
151,SZU, Sihltal Zürich Uetliberg Bahn SZU AG,Bahn Sihltal,2814,"1",Bus - Überland/Berg,8,Freitag
152,AB, Appenzeller Bahnen AG,Appenzeller Bahnen,2809,"3",Bahn - Überland/Berg,7,Samstag
153,BLT, BLT Baselland Transport AG,Bus Baselland,2809,"1",Bus - Überland/Berg,17,Donnerstag
154,TRAVYS, TRAVYS - Transports Vallée-de-Joux - Yverdon-les-B,Bus Yverdon,2805,"1",Bus - Überland/Berg,9,Sonntag
155,VB, Verkehrsbetriebe Biel,Bus Biel,2802,"1",Bus - Überland/Berg,11,Mittwoch
156,TPG, Transports publics genevois (TPG),Bus Genf,2765,"2",Bus - Agglomeration,18,Sonntag
157,ABG, Alsa Bustours Gex S.A.S,Bustour Genf,2732,"1",Bus - Überland/Berg,2,Montag
158,VZO, Verkehrsbetriebe Zürichsee und Oberland (VZO) AG,Bus Zürichsee,2731,"2",Bus - Agglomeration,18,Sonntag
159,SZU, Sihltal Zürich Uetliberg Bahn SZU AG,Bahn Sihltal,2691,"1",Bus - Überland/Berg,8,Donnerstag
160,STI, STI Bus AG,Verkehrsbetriebe Steffisburg-Thun-Interlaken,2667,"1",Bus - Überland/Berg,24,Montag
161,SZU, Sihltal Zürich Uetliberg Bahn SZU AG,Bahn Sihltal,2650,"1",Bus - Überland/Berg,8,Mittwoch
162,BLAG, Busland AG,Busland,2622,"1",Bus - Überland/Berg,18,Samstag
163,VB, Verkehrsbetriebe Biel,Bus Biel,2622,"1",Bus - Überland/Berg,11,Freitag
164,BLT, BLT Baselland Transport AG,Bus Baselland,2613,"1",Bus - Überland/Berg,17,Mittwoch
165,VBSH, Stadt Schaffhausen,Bus Schaffhausen,2574,"1",Bus - Überland/Berg,7,Samstag
166,SZU, Sihltal Zürich Uetliberg Bahn SZU AG,Bahn Sihltal,2537,"1",Bus - Überland/Berg,8,Montag
167,TPN, TPN Transports publics de la Région Nyonnaise SA,Bus Nyon,2535,"1",Bus - Überland/Berg,4,Donnerstag
168,BLT, BLT Baselland Transport AG,Bus Baselland,2489,"1",Bus - Überland/Berg,15,Samstag
169,BLT, BLT Baselland Transport AG,Bus Baselland,2406,"1",Bus - Überland/Berg,14,Sonntag
170,VBG, VBG Verkehrsbetriebe Glattal AG,Bus Glattal,2399,"1",Bus - Überland/Berg,20,Montag
171,BLT, BLT Baselland Transport AG,Bus Baselland,2376,"1",Bus - Überland/Berg,17,Freitag
172,BSU, Busbetrieb Solothurn und Umgebung AG,Bus Solothurn,2369,"2",Bus - Agglomeration,10,Samstag
173,AB, Appenzeller Bahnen AG,Appenzeller Bahnen,2353,"3",Bahn - Überland/Berg,7,Sonntag
174,BLT, BLT Baselland Transport AG,Bus Baselland,2352,"1",Bus - Überland/Berg,17,Montag
175,VB, Verkehrsbetriebe Biel,Bus Biel,2319,"1",Bus - Überland/Berg,11,Samstag
176,VBG, VBG Verkehrsbetriebe Glattal AG,Bus Glattal,2298,"1",Bus - Überland/Berg,20,Mittwoch
177,MBC, Transports de la région Morges-Bière-Cossonay SA,Bahn MBC,2276,"3",Bahn - Überland/Berg,8,Sonntag
178,TPL, TRASPORTI PUBBLICI LUGANESI SA (TPL),Lugano Bus,2186,"1",Bus - Überland/Berg,9,Dienstag
179,VBSG, Stadt St. Gallen,Bus St.Gallen,2155,"2",Bus - Agglomeration,15,Montag
180,ARL, Società Autolinee Regionali Luganesi,Bus Luganesi,2131,"1",Bus - Überland/Berg,3,Sonntag
181,AAGR, Auto AG Rothenburg,Bus Rothenburg,2126,"2",Bus - Agglomeration,4,Mittwoch
182,BSU, Busbetrieb Solothurn und Umgebung AG,Bus Solothurn,2126,"2",Bus - Agglomeration,13,Dienstag
183,AAGR, Auto AG Rothenburg,Bus Rothenburg,2112,"2",Bus - Agglomeration,4,Dienstag
184,BLS, BLS AG,Bern-Lötschberg-Simplon-Bahn,2074,"4",Bahn - Überland/Regionalverkehr,29,Samstag
