"id","tu","name","kurzer_name","anzahl_ausfaelle","id_vmkat","vmkat","anzahl_linien","zeit"
283,AAGU, AUTO AG URI,Bus Uri,658,"1",Bus - Überland/Berg,9,"17:00 - 21:00"
284,SMC, Compagnie de Chemin de Fer et d'Autobus Sierre-Mon,Bahn Montana,653,"3",Bahn - Überland/Berg,2,"05:00 - 09:00"
285,MGB, Matterhorn Gotthard Verkehrs AG,Bahn Matterhorn,643,"3",Bahn - Überland/Berg,3,"21:00 - 01:00"
286,VBL, Verkehrsbetriebe Luzern AG,Bus Luzern,627,"2",Bus - Agglomeration,2,"01:00 - 05:00"
287,TSD, Theytaz Excursions SA,Theytaz,619,"1",Bus - Überland/Berg,2,"05:00 - 09:00"
288,SMC, Compagnie de Chemin de Fer et d'Autobus Sierre-Mon,Bahn Montana,617,"3",Bahn - Überland/Berg,2,"17:00 - 21:00"
289,AS, Autobetrieb Sernftal AG,Bus Sernftal,616,"1",Bus - Überland/Berg,3,"17:00 - 21:00"
290,TMR, TMR Transports de Martigny et Régions SA,Bus Wallis,600,"1",Bus - Überland/Berg,4,"21:00 - 01:00"
291,FART, Società per le Ferrovie Autolinee Regionali Ticine,Bus Tessin,590,"1",Bus - Überland/Berg,8,"13:00 - 17:00"
292,LLB, Société anonyme des transports publics de Loèche-l,Bus Leuk,579,"1",Bus - Überland/Berg,8,"09:00 - 13:00"
293,RBL, Regionalbus Lenzburg AG,Bus Lenzburg,577,"1",Bus - Überland/Berg,7,"05:00 - 09:00"
294,NStCM, Compagnie du chemin de fer Nyon-St-Cergue-Morez SA,Bahn Waadt,561,"3",Bahn - Überland/Berg,1,"21:00 - 01:00"
295,asm, Aare Seeland mobil AG,Bus Aare Seeland,561,"1",Bus - Überland/Berg,9,"21:00 - 01:00"
296,AMSA, Autolinea Mendrisiense SA,Bus Mendrisiense,546,"1",Bus - Überland/Berg,5,"21:00 - 01:00"
297,AOT, Autokurse Oberthurgau AG (AOT),Bus Oberthurgau,529,"1",Bus - Überland/Berg,5,"17:00 - 21:00"
298,FART, Società per le Ferrovie Autolinee Regionali Ticine,Bus Tessin,524,"1",Bus - Überland/Berg,8,"17:00 - 21:00"
299,LLB, Société anonyme des transports publics de Loèche-l,Bus Leuk,521,"1",Bus - Überland/Berg,8,"05:00 - 09:00"
300,RBL, Regionalbus Lenzburg AG,Bus Lenzburg,497,"1",Bus - Überland/Berg,7,"17:00 - 21:00"
301,AAGL, Autobus AG Liestal Öffentlicher Verkehr,Bus Liestal,494,"1",Bus - Überland/Berg,6,"13:00 - 17:00"
302,AAGL, Autobus AG Liestal Öffentlicher Verkehr,Bus Liestal,473,"1",Bus - Überland/Berg,6,"09:00 - 13:00"
303,RBL, Regionalbus Lenzburg AG,Bus Lenzburg,462,"1",Bus - Überland/Berg,7,"09:00 - 13:00"
304,VBL, Verkehrsbetriebe Luzern AG,Bus Luzern,462,"2",Bus - Agglomeration,2,"21:00 - 01:00"
305,BLT, BLT Baselland Transport AG,Bus Baselland,460,"1",Bus - Überland/Berg,8,"01:00 - 05:00"
306,FART, Società per le Ferrovie Autolinee Regionali Ticine,Bus Tessin,450,"1",Bus - Überland/Berg,7,"21:00 - 01:00"
307,AAGL, Autobus AG Liestal Öffentlicher Verkehr,Bus Liestal,444,"1",Bus - Überland/Berg,6,"05:00 - 09:00"
308,TSD, Theytaz Excursions SA,Theytaz,412,"1",Bus - Überland/Berg,2,"17:00 - 21:00"
309,ARAG, Rottal Auto AG,Bus Rottal,407,"1",Bus - Überland/Berg,6,"21:00 - 01:00"
310,SOB, Schweizerische Südostbahn AG,Südostbahn,403,"4",Bahn - Überland/Regionalverkehr,7,"05:00 - 09:00"
311,BBA, Busbetrieb Aarau AG (BBA),Bus Aarau,402,"2",Bus - Agglomeration,3,"17:00 - 21:00"
312,SOB, Schweizerische Südostbahn AG,Südostbahn,401,"4",Bahn - Überland/Regionalverkehr,6,"09:00 - 13:00"
313,SOB, Schweizerische Südostbahn AG,Südostbahn,390,"4",Bahn - Überland/Regionalverkehr,7,"17:00 - 21:00"
314,VMCV, VMCV SA,Bus Montreux,386,"1",Bus - Überland/Berg,2,"01:00 - 05:00"
315,zb, zb Zentralbahn AG,Zentralbahn,385,"3",Bahn - Überland/Berg,8,"05:00 - 09:00"
316,LLB, Société anonyme des transports publics de Loèche-l,Bus Leuk,376,"1",Bus - Überland/Berg,8,"13:00 - 17:00"
317,SBW, Stadt Winterthur,Bus Winterthur,376,"1",Bus - Überland/Berg,2,"21:00 - 01:00"
318,TSD, Theytaz Excursions SA,Theytaz,369,"1",Bus - Überland/Berg,2,"13:00 - 17:00"
319,RA, REGIONALPS SA ,Regionalps,368,"4",Bahn - Überland/Regionalverkehr,3,"21:00 - 01:00"
320,SOB, Schweizerische Südostbahn AG,Südostbahn,360,"4",Bahn - Überland/Regionalverkehr,7,"13:00 - 17:00"
321,ASGS," René Ballestraz et fils, transports SA",Bus René Ballestraz,355,"1",Bus - Überland/Berg,1,"21:00 - 01:00"
322,AAGL, Autobus AG Liestal Öffentlicher Verkehr,Bus Liestal,350,"1",Bus - Überland/Berg,6,"17:00 - 21:00"
323,AAGU, AUTO AG URI,Bus Uri,344,"1",Bus - Überland/Berg,3,"21:00 - 01:00"
324,LLB, Société anonyme des transports publics de Loèche-l,Bus Leuk,339,"1",Bus - Überland/Berg,8,"17:00 - 21:00"
325,zb, zb Zentralbahn AG,Zentralbahn,336,"3",Bahn - Überland/Berg,8,"17:00 - 21:00"
326,RVBW, Regionale Verkehrsbetriebe Baden-Wettingen (RVBW) ,Bus Baden,331,"2",Bus - Agglomeration,2,"05:00 - 09:00"
327,BBA, Busbetrieb Aarau AG (BBA),Bus Aarau,330,"2",Bus - Agglomeration,3,"05:00 - 09:00"
328,BRER, O. Schneider AG,Bus Schneider,329,"1",Bus - Überland/Berg,3,"05:00 - 09:00"
329,TPC, Transports Publics du Chablais SA,Bus Chablais ,324,"1",Bus - Überland/Berg,2,"21:00 - 01:00"
330,RBL, Regionalbus Lenzburg AG,Bus Lenzburg,316,"1",Bus - Überland/Berg,7,"13:00 - 17:00"
331,BGU, BGU Busbetrieb Grenchen und Umgebung AG,Bus Grenchen,315,"2",Bus - Agglomeration,3,"21:00 - 01:00"
332,LEB, Compagnie du chemin de fer Lausanne-Echallens-Berc,Bahn Lausanne,309,"3",Bahn - Überland/Berg,1,"01:00 - 05:00"
333,zb, zb Zentralbahn AG,Zentralbahn,303,"3",Bahn - Überland/Berg,6,"13:00 - 17:00"
334,AS, Autobetrieb Sernftal AG,Bus Sernftal,301,"1",Bus - Überland/Berg,1,"21:00 - 01:00"
335,RBL, Regionalbus Lenzburg AG,Bus Lenzburg,299,"1",Bus - Überland/Berg,7,"21:00 - 01:00"
336,GWB, Grindelwald Bus AG,Grindelwald Bus,295,"1",Bus - Überland/Berg,3,"17:00 - 21:00"
337,BBA, Busbetrieb Aarau AG (BBA),Bus Aarau,288,"2",Bus - Agglomeration,3,"09:00 - 13:00"
338,zb, zb Zentralbahn AG,Zentralbahn,288,"3",Bahn - Überland/Berg,6,"09:00 - 13:00"
339,AB, Appenzeller Bahnen AG,Appenzeller Bahnen,284,"3",Bahn - Überland/Berg,5,"01:00 - 05:00"
340,RVBW, Regionale Verkehrsbetriebe Baden-Wettingen (RVBW) ,Bus Baden,259,"2",Bus - Agglomeration,2,"09:00 - 13:00"
341,BOB, Berner Oberland-Bahnen AG,Berner Oberbland,257,"3",Bahn - Überland/Berg,2,"17:00 - 21:00"
342,WAB, Wengernalpbahn AG,Wengernalpbahn,254,"3",Bahn - Überland/Berg,1,"09:00 - 13:00"
343,RVBW, Regionale Verkehrsbetriebe Baden-Wettingen (RVBW) ,Bus Baden,252,"2",Bus - Agglomeration,2,"17:00 - 21:00"
344,WAB, Wengernalpbahn AG,Wengernalpbahn,251,"3",Bahn - Überland/Berg,1,"13:00 - 17:00"
345,SNL, SOCIETA' NAVIGAZIONE DEL LAGO DI LUGANO SA,Bus Lugano,245,"4",Bus - Überland/Berg,2,"09:00 - 13:00"
346,RVBW, Regionale Verkehrsbetriebe Baden-Wettingen (RVBW) ,Bus Baden,244,"2",Bus - Agglomeration,2,"13:00 - 17:00"
347,VBSH, Stadt Schaffhausen,Bus Schaffhausen,244,"1",Bus - Überland/Berg,5,"01:00 - 05:00"
348,AFA, Automobilverkehr Frutigen-Adelboden AG,Bus Frutigen,239,"1",Bus - Überland/Berg,6,"05:00 - 09:00"
349,BOB, Berner Oberland-Bahnen AG,Berner Oberbland,237,"3",Bahn - Überland/Berg,2,"13:00 - 17:00"
350,AFA, Automobilverkehr Frutigen-Adelboden AG,Bus Frutigen,235,"1",Bus - Überland/Berg,6,"09:00 - 13:00"
351,BBA, Busbetrieb Aarau AG (BBA),Bus Aarau,235,"2",Bus - Agglomeration,3,"13:00 - 17:00"
352,SNL, SOCIETA' NAVIGAZIONE DEL LAGO DI LUGANO SA,Bus Lugano,233,"4",Bus - Überland/Berg,2,"13:00 - 17:00"
353,RhB, Rhätische Bahn AG  (RhB),Rhätische Bahn,226,"4",Bahn - Überland/Regionalverkehr,12,"05:00 - 09:00"
