"id","tu","name","kurzer_name","anzahl_ausfaelle","id_vmkat","vmkat","anzahl_linien","zeit"
375,ABl, Autolinee Bleniesi SA,Bus Bleniesi,146,"1",Bus - Überland/Berg,5,"17:00 - 21:00"
376,zb, zb Zentralbahn AG,Zentralbahn,138,"3",Bahn - Überland/Berg,7,"21:00 - 01:00"
377,AFA, Automobilverkehr Frutigen-Adelboden AG,Bus Frutigen,132,"1",Bus - Überland/Berg,6,"13:00 - 17:00"
378,BCS, Commune de Sion,Bus Sion,127,"1",Bus - Überland/Berg,4,"17:00 - 21:00"
379,AAGS, Auto AG Schwyz,Bus Schwyz,125,"1",Bus - Überland/Berg,5,"01:00 - 05:00"
380,MGB, Matterhorn Gotthard Verkehrs AG,Bahn Matterhorn,125,"3",Bahn - Überland/Berg,1,"01:00 - 05:00"
381,TPF, Transports publics fribourgeois SA,Bus Fribourg,124,"1",Bus - Überland/Berg,10,"01:00 - 05:00"
382,AAGL, Autobus AG Liestal Öffentlicher Verkehr,Bus Liestal,121,"1",Bus - Überland/Berg,6,"21:00 - 01:00"
383,WAB, Wengernalpbahn AG,Wengernalpbahn,118,"3",Bahn - Überland/Berg,1,"17:00 - 21:00"
384,BLWE, Genossenschaft Busbetrieb Lichtensteig-Wattwil-Ebn,Bus Wattwil,115,"1",Bus - Überland/Berg,1,"05:00 - 09:00"
385,BRER, O. Schneider AG,Bus Schneider,110,"1",Bus - Überland/Berg,3,"17:00 - 21:00"
386,ARL, Società Autolinee Regionali Luganesi,Bus Luganesi,108,"1",Bus - Überland/Berg,2,"01:00 - 05:00"
387,AOT, Autokurse Oberthurgau AG (AOT),Bus Oberthurgau,96,"1",Bus - Überland/Berg,2,"21:00 - 01:00"
388,BWS, Busbetriebe Bamert GmbH,Bus Bamert,96,"1",Bus - Überland/Berg,1,"09:00 - 13:00"
389,BLWE, Genossenschaft Busbetrieb Lichtensteig-Wattwil-Ebn,Bus Wattwil,94,"1",Bus - Überland/Berg,1,"09:00 - 13:00"
390,BVB, Basler Verkehrs-Betriebe,Basler Verkehrs,91,"2",Bus - Agglomeration,3,"01:00 - 05:00"
391,BWS, Busbetriebe Bamert GmbH,Bus Bamert,85,"1",Bus - Überland/Berg,1,"05:00 - 09:00"
392,FLP, Ferrovie Luganesi SA,Bahn Lugano,84,"4",Bahn - Überland/Regionalverkehr,1,"01:00 - 05:00"
393,VBSG, Stadt St. Gallen,Bus St.Gallen,84,"2",Bus - Agglomeration,6,"01:00 - 05:00"
394,AWA, Ortsgemeinde Amden,Bus Amden,79,"1",Bus - Überland/Berg,1,"05:00 - 09:00"
395,AWA, Ortsgemeinde Amden,Bus Amden,76,"1",Bus - Überland/Berg,1,"09:00 - 13:00"
396,RVBW, Regionale Verkehrsbetriebe Baden-Wettingen (RVBW) ,Bus Baden,76,"2",Bus - Agglomeration,2,"21:00 - 01:00"
397,TRAVYS, TRAVYS - Transports Vallée-de-Joux - Yverdon-les-B,Bus Yverdon,73,"1",Bus - Überland/Berg,3,"01:00 - 05:00"
398,BOB, Berner Oberland-Bahnen AG,Berner Oberbland,72,"3",Bahn - Überland/Berg,2,"21:00 - 01:00"
399,BWS, Busbetriebe Bamert GmbH,Bus Bamert,71,"1",Bus - Überland/Berg,1,"13:00 - 17:00"
400,VBZ, Stadt Zürich,Bus Zürich,71,"1",Bus - Überland/Berg,9,"01:00 - 05:00"
401,AWA, Ortsgemeinde Amden,Bus Amden,70,"1",Bus - Überland/Berg,1,"13:00 - 17:00"
402,SBG, SBG SüdbadenBus GmbH,Bus Südbaden,69,"1",Bus - Überland/Berg,1,"01:00 - 05:00"
403,WAB, Wengernalpbahn AG,Wengernalpbahn,67,"3",Bahn - Überland/Berg,1,"21:00 - 01:00"
404,TPN, TPN Transports publics de la Région Nyonnaise SA,Bus Nyon,60,"1",Bus - Überland/Berg,3,"01:00 - 05:00"
405,BWS, Busbetriebe Bamert GmbH,Bus Bamert,57,"1",Bus - Überland/Berg,1,"21:00 - 01:00"
406,SMC, Compagnie de Chemin de Fer et d'Autobus Sierre-Mon,Bahn Montana,55,"3",Bahn - Überland/Berg,2,"21:00 - 01:00"
407,BCS, Commune de Sion,Bus Sion,53,"1",Bus - Überland/Berg,4,"05:00 - 09:00"
408,AFA, Automobilverkehr Frutigen-Adelboden AG,Bus Frutigen,52,"1",Bus - Überland/Berg,5,"17:00 - 21:00"
409,BWS, Busbetriebe Bamert GmbH,Bus Bamert,52,"1",Bus - Überland/Berg,1,"17:00 - 21:00"
410,WAB, Wengernalpbahn AG,Wengernalpbahn,51,"3",Bahn - Überland/Berg,1,"01:00 - 05:00"
411,BLWE, Genossenschaft Busbetrieb Lichtensteig-Wattwil-Ebn,Bus Wattwil,50,"1",Bus - Überland/Berg,1,"13:00 - 17:00"
412,VZO, Verkehrsbetriebe Zürichsee und Oberland (VZO) AG,Bus Zürichsee,46,"2",Bus - Agglomeration,5,"01:00 - 05:00"
413,BRER, O. Schneider AG,Bus Schneider,45,"1",Bus - Überland/Berg,2,"21:00 - 01:00"
414,RhB, Rhätische Bahn AG  (RhB),Rhätische Bahn,45,"4",Bahn - Überland/Regionalverkehr,7,"21:00 - 01:00"
415,THURBO, Thurbo AG,Thurbo,45,"4",Bahn - Überland/Regionalverkehr,9,"01:00 - 05:00"
416,AAGU, AUTO AG URI,Bus Uri,43,"1",Bus - Überland/Berg,2,"01:00 - 05:00"
417,AMSA, Autolinea Mendrisiense SA,Bus Mendrisiense,43,"1",Bus - Überland/Berg,1,"01:00 - 05:00"
418,BLWE, Genossenschaft Busbetrieb Lichtensteig-Wattwil-Ebn,Bus Wattwil,39,"1",Bus - Überland/Berg,1,"17:00 - 21:00"
419,BLWE, Genossenschaft Busbetrieb Lichtensteig-Wattwil-Ebn,Bus Wattwil,39,"1",Bus - Überland/Berg,1,"21:00 - 01:00"
420,AWA, Ortsgemeinde Amden,Bus Amden,34,"1",Bus - Überland/Berg,1,"17:00 - 21:00"
421,VBG, VBG Verkehrsbetriebe Glattal AG,Bus Glattal,34,"1",Bus - Überland/Berg,5,"01:00 - 05:00"
422,ABl, Autolinee Bleniesi SA,Bus Bleniesi,33,"1",Bus - Überland/Berg,2,"21:00 - 01:00"
423,TRN, Transports Publics Neuchâtelois SA,Bus Neuchatel,33,"1",Bus - Überland/Berg,2,"01:00 - 05:00"
424,RA, REGIONALPS SA ,Regionalps,31,"4",Bahn - Überland/Regionalverkehr,2,"01:00 - 05:00"
425,NStCM, Compagnie du chemin de fer Nyon-St-Cergue-Morez SA,Bahn Waadt,22,"3",Bahn - Überland/Berg,1,"01:00 - 05:00"
426,AFA, Automobilverkehr Frutigen-Adelboden AG,Bus Frutigen,20,"1",Bus - Überland/Berg,2,"21:00 - 01:00"
427,AWA, Ortsgemeinde Amden,Bus Amden,19,"1",Bus - Überland/Berg,1,"21:00 - 01:00"
428,asm, Aare Seeland mobil AG,Bus Aare Seeland,19,"1",Bus - Überland/Berg,2,"01:00 - 05:00"
429,BLS, BLS AG,Bern-Lötschberg-Simplon-Bahn,18,"4",Bahn - Überland/Regionalverkehr,6,"01:00 - 05:00"
430,TMR, TMR Transports de Martigny et Régions SA,Bus Wallis,18,"1",Bus - Überland/Berg,1,"01:00 - 05:00"
431,AVA, Aargau Verkehr AG,Bus Aargau,16,"1",Bus - Überland/Berg,3,"01:00 - 05:00"
432,BCS, Commune de Sion,Bus Sion,16,"1",Bus - Überland/Berg,1,"21:00 - 01:00"
433,SVB, Städtische Verkehrsbetriebe Bern (SVB),Bernmobil,14,"2",Bus - Agglomeration,7,"01:00 - 05:00"
434,BOB, Berner Oberland-Bahnen AG,Berner Oberbland,13,"3",Bahn - Überland/Berg,2,"01:00 - 05:00"
435,VB, Verkehrsbetriebe Biel,Bus Biel,13,"1",Bus - Überland/Berg,1,"01:00 - 05:00"
436,BuS, Bus und Service AG,BuS AG,12,"1",Bus - Überland/Berg,1,"01:00 - 05:00"
437,FART, Società per le Ferrovie Autolinee Regionali Ticine,Bus Tessin,12,"1",Bus - Überland/Berg,4,"01:00 - 05:00"
438,RhB, Rhätische Bahn AG  (RhB),Rhätische Bahn,12,"4",Bahn - Überland/Regionalverkehr,4,"01:00 - 05:00"
439,BOGG, Busbetrieb Olten Gösgen Gäu AG,Bus Olten,11,"2",Bus - Agglomeration,1,"01:00 - 05:00"
440,RBL, Regionalbus Lenzburg AG,Bus Lenzburg,11,"1",Bus - Überland/Berg,1,"01:00 - 05:00"
441,SOB, Schweizerische Südostbahn AG,Südostbahn,11,"4",Bahn - Überland/Regionalverkehr,3,"01:00 - 05:00"
442,SZU, Sihltal Zürich Uetliberg Bahn SZU AG,Bahn Sihltal,11,"1",Bus - Überland/Berg,1,"01:00 - 05:00"
443,REGO, Regiobus (St. Gallen),Regiobus St. Gallen,10,"1",Bus - Überland/Berg,1,"01:00 - 05:00"
444,TPC, Transports Publics du Chablais SA,Bus Chablais ,10,"1",Bus - Überland/Berg,1,"01:00 - 05:00"
445,zb, zb Zentralbahn AG,Zentralbahn,10,"3",Bahn - Überland/Berg,1,"01:00 - 05:00"
446,RVBW, Regionale Verkehrsbetriebe Baden-Wettingen (RVBW) ,Bus Baden,8,"2",Bus - Agglomeration,2,"01:00 - 05:00"
447,AOT, Autokurse Oberthurgau AG (AOT),Bus Oberthurgau,7,"1",Bus - Überland/Berg,1,"01:00 - 05:00"
448,LLB, Société anonyme des transports publics de Loèche-l,Bus Leuk,7,"1",Bus - Überland/Berg,1,"21:00 - 01:00"
449,ZVB, Zugerland Verkehrsbetriebe AG,Bus Zug,7,"1",Bus - Überland/Berg,1,"01:00 - 05:00"
450,BLWE, Genossenschaft Busbetrieb Lichtensteig-Wattwil-Ebn,Bus Wattwil,5,"1",Bus - Überland/Berg,1,"01:00 - 05:00"
451,AAGR, Auto AG Rothenburg,Bus Rothenburg,4,"2",Bus - Agglomeration,2,"01:00 - 05:00"
452,ARAG, Rottal Auto AG,Bus Rottal,2,"1",Bus - Überland/Berg,2,"01:00 - 05:00"
453,BBA, Busbetrieb Aarau AG (BBA),Bus Aarau,2,"2",Bus - Agglomeration,1,"01:00 - 05:00"
454,BRER, O. Schneider AG,Bus Schneider,2,"1",Bus - Überland/Berg,1,"01:00 - 05:00"
455,RBS, Regionalverkehr Bern-Solothurn AG,Regionalverkehr Bern-Solothurn,2,"2",Bus - Agglomeration,1,"01:00 - 05:00"
456,STI, STI Bus AG,Verkehrsbetriebe Steffisburg-Thun-Interlaken,2,"1",Bus - Überland/Berg,1,"01:00 - 05:00"
457,SBW, Stadt Winterthur,Bus Winterthur,1,"1",Bus - Überland/Berg,1,"01:00 - 05:00"
