"id","tu","name","kurzer_name","anzahl_ausfaelle","id_vmkat","vmkat","anzahl_linien","anzahl_halte"
73,ARL, Società Autolinee Regionali Luganesi,Bus Luganesi,4947,"1",Bus - Überland/Berg,1,"0 Haltestellen"
74,ARL, Società Autolinee Regionali Luganesi,Bus Luganesi,4947,"1",Bus - Überland/Berg,1,"1-2 Haltestellen"
75,BOGG, Busbetrieb Olten Gösgen Gäu AG,Bus Olten,4906,"2",Bus - Agglomeration,10,"7-13 Haltestellen"
76,AVJ, Société anonyme des auto-transports de la Vallée d,Bus AVJ,4824,"1",Bus - Überland/Berg,1,"7-13 Haltestellen"
77,TPF, Transports publics fribourgeois SA,Bus Fribourg,4802,"1",Bus - Überland/Berg,44,"7-13 Haltestellen"
78,BLT, BLT Baselland Transport AG,Bus Baselland,4783,"1",Bus - Überland/Berg,7,"22-39 Haltestellen"
79,TRN, Transports Publics Neuchâtelois SA,Bus Neuchatel,4669,"1",Bus - Überland/Berg,10,"1-2 Haltestellen"
80,TPF, Transports publics fribourgeois SA,Bus Fribourg,4575,"1",Bus - Überland/Berg,15,"22-39 Haltestellen"
81,BSU, Busbetrieb Solothurn und Umgebung AG,Bus Solothurn,4517,"2",Bus - Agglomeration,10,"7-13 Haltestellen"
82,TPC, Transports Publics du Chablais SA,Bus Chablais ,4491,"1",Bus - Überland/Berg,6,"7-13 Haltestellen"
83,TRAVYS, TRAVYS - Transports Vallée-de-Joux - Yverdon-les-B,Bus Yverdon,4385,"1",Bus - Überland/Berg,3,"22-39 Haltestellen"
84,BGU, BGU Busbetrieb Grenchen und Umgebung AG,Bus Grenchen,4320,"2",Bus - Agglomeration,10,"14-21 Haltestellen"
85,TPC, Transports Publics du Chablais SA,Bus Chablais ,4203,"1",Bus - Überland/Berg,5,"14-21 Haltestellen"
86,VBSH, Stadt Schaffhausen,Bus Schaffhausen,4077,"1",Bus - Überland/Berg,3,"22-39 Haltestellen"
87,VBL, Verkehrsbetriebe Luzern AG,Bus Luzern,4010,"2",Bus - Agglomeration,1,"22-39 Haltestellen"
88,BSU, Busbetrieb Solothurn und Umgebung AG,Bus Solothurn,3985,"2",Bus - Agglomeration,8,"14-21 Haltestellen"
89,FLP, Ferrovie Luganesi SA,Bahn Lugano,3966,"4",Bahn - Überland/Regionalverkehr,1,"3-6 Haltestellen"
90,BuS, Bus und Service AG,BuS AG,3946,"1",Bus - Überland/Berg,3,"14-21 Haltestellen"
91,BuS, Bus und Service AG,BuS AG,3935,"1",Bus - Überland/Berg,3,"22-39 Haltestellen"
92,SBG, SBG SüdbadenBus GmbH,Bus Südbaden,3924,"1",Bus - Überland/Berg,1,"7-13 Haltestellen"
93,RA, REGIONALPS SA ,Regionalps,3899,"4",Bahn - Überland/Regionalverkehr,4,"3-6 Haltestellen"
94,MGB, Matterhorn Gotthard Verkehrs AG,Bahn Matterhorn,3872,"3",Bahn - Überland/Berg,3,"1-2 Haltestellen"
95,TL, Transports Publics de la Région Lausannoise sa,Bus Lausanne,3806,"2",Bus - Agglomeration,9,"1-2 Haltestellen"
96,VBG, VBG Verkehrsbetriebe Glattal AG,Bus Glattal,3738,"1",Bus - Überland/Berg,20,"3-6 Haltestellen"
97,RBS, Regionalverkehr Bern-Solothurn AG,Regionalverkehr Bern-Solothurn,3696,"2",Bus - Agglomeration,12,"14-21 Haltestellen"
98,MBC, Transports de la région Morges-Bière-Cossonay SA,Bahn MBC,3676,"3",Bahn - Überland/Berg,7,"3-6 Haltestellen"
99,BLS, BLS AG,Bern-Lötschberg-Simplon-Bahn,3533,"4",Bahn - Überland/Regionalverkehr,30,"3-6 Haltestellen"
100,VBG, VBG Verkehrsbetriebe Glattal AG,Bus Glattal,3478,"1",Bus - Überland/Berg,20,"1-2 Haltestellen"
101,TRAVYS, TRAVYS - Transports Vallée-de-Joux - Yverdon-les-B,Bus Yverdon,3409,"1",Bus - Überland/Berg,4,"14-21 Haltestellen"
102,BVB, Basler Verkehrs-Betriebe,Basler Verkehrs,3401,"2",Bus - Agglomeration,2,"22-39 Haltestellen"
103,FLP, Ferrovie Luganesi SA,Bahn Lugano,3397,"4",Bahn - Überland/Regionalverkehr,1,"7-13 Haltestellen"
104,BVB, Basler Verkehrs-Betriebe,Basler Verkehrs,3367,"2",Bus - Agglomeration,3,"7-13 Haltestellen"
105,AAGR, Auto AG Rothenburg,Bus Rothenburg,3332,"2",Bus - Agglomeration,2,"22-39 Haltestellen"
106,TPG, Transports publics genevois (TPG),Bus Genf,3326,"2",Bus - Agglomeration,16,"14-21 Haltestellen"
107,VZO, Verkehrsbetriebe Zürichsee und Oberland (VZO) AG,Bus Zürichsee,3222,"2",Bus - Agglomeration,22,"3-6 Haltestellen"
108,TPL, TRASPORTI PUBBLICI LUGANESI SA (TPL),Lugano Bus,3206,"1",Bus - Überland/Berg,3,"7-13 Haltestellen"
109,TPL, TRASPORTI PUBBLICI LUGANESI SA (TPL),Lugano Bus,3182,"1",Bus - Überland/Berg,1,"1-2 Haltestellen"
110,AB, Appenzeller Bahnen AG,Appenzeller Bahnen,3102,"3",Bahn - Überland/Berg,6,"7-13 Haltestellen"
111,VB, Verkehrsbetriebe Biel,Bus Biel,3084,"1",Bus - Überland/Berg,10,"7-13 Haltestellen"
112,RBS, Regionalverkehr Bern-Solothurn AG,Regionalverkehr Bern-Solothurn,2995,"2",Bus - Agglomeration,15,"1-2 Haltestellen"
113,BSU, Busbetrieb Solothurn und Umgebung AG,Bus Solothurn,2982,"2",Bus - Agglomeration,7,"22-39 Haltestellen"
114,VMCV, VMCV SA,Bus Montreux,2915,"1",Bus - Überland/Berg,1,"22-39 Haltestellen"
115,BLAG, Busland AG,Busland,2883,"1",Bus - Überland/Berg,6,"22-39 Haltestellen"
116,SMC, Compagnie de Chemin de Fer et d'Autobus Sierre-Mon,Bahn Montana,2878,"3",Bahn - Überland/Berg,2,"22-39 Haltestellen"
117,SZU, Sihltal Zürich Uetliberg Bahn SZU AG,Bahn Sihltal,2876,"1",Bus - Überland/Berg,8,"3-6 Haltestellen"
118,AAGS, Auto AG Schwyz,Bus Schwyz,2844,"1",Bus - Überland/Berg,6,"22-39 Haltestellen"
119,SBB, Schweizerische Bundesbahnen SBB,Schweizerische Bundesbahnen,2835,"4",Bahn - Überland/Regionalverkehr,25,"22-39 Haltestellen"
120,TPF, Transports publics fribourgeois SA,Bus Fribourg,2826,"1",Bus - Überland/Berg,29,"3-6 Haltestellen"
121,RBS, Regionalverkehr Bern-Solothurn AG,Regionalverkehr Bern-Solothurn,2816,"2",Bus - Agglomeration,3,"22-39 Haltestellen"
122,VZO, Verkehrsbetriebe Zürichsee und Oberland (VZO) AG,Bus Zürichsee,2761,"2",Bus - Agglomeration,5,"22-39 Haltestellen"
123,AAGS, Auto AG Schwyz,Bus Schwyz,2747,"1",Bus - Überland/Berg,9,"7-13 Haltestellen"
124,VBD, Landschaft Davos,Bus Davos,2736,"1",Bus - Überland/Berg,2,"3-6 Haltestellen"
125,TL, Transports Publics de la Région Lausannoise sa,Bus Lausanne,2666,"2",Bus - Agglomeration,10,"3-6 Haltestellen"
126,ZVB, Zugerland Verkehrsbetriebe AG,Bus Zug,2634,"1",Bus - Überland/Berg,3,"22-39 Haltestellen"
127,BLT, BLT Baselland Transport AG,Bus Baselland,2627,"1",Bus - Überland/Berg,17,"7-13 Haltestellen"
128,TPL, TRASPORTI PUBBLICI LUGANESI SA (TPL),Lugano Bus,2602,"1",Bus - Überland/Berg,3,"14-21 Haltestellen"
129,THURBO, Thurbo AG,Thurbo,2601,"4",Bahn - Überland/Regionalverkehr,16,"7-13 Haltestellen"
130,ASGS," René Ballestraz et fils, transports SA",Bus René Ballestraz,2599,"1",Bus - Überland/Berg,1,"22-39 Haltestellen"
131,NStCM, Compagnie du chemin de fer Nyon-St-Cergue-Morez SA,Bahn Waadt,2583,"3",Bahn - Überland/Berg,1,"7-13 Haltestellen"
132,BLT, BLT Baselland Transport AG,Bus Baselland,2494,"1",Bus - Überland/Berg,17,"3-6 Haltestellen"
133,SZU, Sihltal Zürich Uetliberg Bahn SZU AG,Bahn Sihltal,2489,"1",Bus - Überland/Berg,4,"14-21 Haltestellen"
134,asm, Aare Seeland mobil AG,Bus Aare Seeland,2394,"1",Bus - Überland/Berg,12,"7-13 Haltestellen"
135,STI, STI Bus AG,Verkehrsbetriebe Steffisburg-Thun-Interlaken,2381,"1",Bus - Überland/Berg,18,"14-21 Haltestellen"
136,VBSH, Stadt Schaffhausen,Bus Schaffhausen,2369,"1",Bus - Überland/Berg,6,"14-21 Haltestellen"
137,REGO, Regiobus (St. Gallen),Regiobus St. Gallen,2267,"1",Bus - Überland/Berg,7,"7-13 Haltestellen"
138,AMSA, Autolinea Mendrisiense SA,Bus Mendrisiense,2207,"1",Bus - Überland/Berg,3,"14-21 Haltestellen"
139,TPG, Transports publics genevois (TPG),Bus Genf,2178,"2",Bus - Agglomeration,15,"7-13 Haltestellen"
140,BGU, BGU Busbetrieb Grenchen und Umgebung AG,Bus Grenchen,2099,"2",Bus - Agglomeration,10,"7-13 Haltestellen"
141,VBZ, Stadt Zürich,Bus Zürich,2083,"1",Bus - Überland/Berg,18,"3-6 Haltestellen"
142,ZVB, Zugerland Verkehrsbetriebe AG,Bus Zug,2083,"1",Bus - Überland/Berg,20,"1-2 Haltestellen"
143,AMSA, Autolinea Mendrisiense SA,Bus Mendrisiense,1993,"1",Bus - Überland/Berg,3,"7-13 Haltestellen"
144,RA, REGIONALPS SA ,Regionalps,1977,"4",Bahn - Überland/Regionalverkehr,4,"7-13 Haltestellen"
145,ZVB, Zugerland Verkehrsbetriebe AG,Bus Zug,1956,"1",Bus - Überland/Berg,22,"3-6 Haltestellen"
146,VMCV, VMCV SA,Bus Montreux,1909,"1",Bus - Überland/Berg,3,"7-13 Haltestellen"
147,SVB, Städtische Verkehrsbetriebe Bern (SVB),Bernmobil,1882,"2",Bus - Agglomeration,33,"1-2 Haltestellen"
148,AOT, Autokurse Oberthurgau AG (AOT),Bus Oberthurgau,1867,"1",Bus - Überland/Berg,3,"14-21 Haltestellen"
149,AAGS, Auto AG Schwyz,Bus Schwyz,1855,"1",Bus - Überland/Berg,8,"14-21 Haltestellen"
150,ARAG, Rottal Auto AG,Bus Rottal,1832,"1",Bus - Überland/Berg,7,"7-13 Haltestellen"
151,asm, Aare Seeland mobil AG,Bus Aare Seeland,1805,"1",Bus - Überland/Berg,9,"14-21 Haltestellen"
152,BSU, Busbetrieb Solothurn und Umgebung AG,Bus Solothurn,1804,"2",Bus - Agglomeration,8,"3-6 Haltestellen"
153,SBB, Schweizerische Bundesbahnen SBB,Schweizerische Bundesbahnen,1800,"4",Bahn - Überland/Regionalverkehr,50,"1-2 Haltestellen"
154,VBSH, Stadt Schaffhausen,Bus Schaffhausen,1797,"1",Bus - Überland/Berg,6,"7-13 Haltestellen"
155,AAGR, Auto AG Rothenburg,Bus Rothenburg,1791,"2",Bus - Agglomeration,4,"7-13 Haltestellen"
156,VBL, Verkehrsbetriebe Luzern AG,Bus Luzern,1684,"2",Bus - Agglomeration,2,"7-13 Haltestellen"
