"id","tu","name","kurzer_name","anzahl_ausfaelle","id_vmkat","vmkat","anzahl_linien","anzahl_minuten"
209,WAB, Wengernalpbahn AG,Wengernalpbahn,556,"3",Bahn - Überland/Berg,1,"5-15 Minuten"
210,AAGL, Autobus AG Liestal Öffentlicher Verkehr,Bus Liestal,530,"1",Bus - Überland/Berg,6,"5-15 Minuten"
211,GWB, Grindelwald Bus AG,Grindelwald Bus,526,"1",Bus - Überland/Berg,3,Unter 5 Minuten
212,AAGU, AUTO AG URI,Bus Uri,522,"1",Bus - Überland/Berg,1,"60+ Minuten"
213,VBSG, Stadt St. Gallen,Bus St.Gallen,518,"2",Bus - Agglomeration,5,Unter 5 Minuten
214,TPC, Transports Publics du Chablais SA,Bus Chablais ,516,"1",Bus - Überland/Berg,2,"60+ Minuten"
215,RA, REGIONALPS SA ,Regionalps,511,"4",Bahn - Überland/Regionalverkehr,1,"60+ Minuten"
216,LEB, Compagnie du chemin de fer Lausanne-Echallens-Berc,Bahn Lausanne,506,"3",Bahn - Überland/Berg,1,"5-15 Minuten"
217,TRAVYS, TRAVYS - Transports Vallée-de-Joux - Yverdon-les-B,Bus Yverdon,486,"1",Bus - Überland/Berg,2,"60+ Minuten"
218,BOB, Berner Oberland-Bahnen AG,Berner Oberbland,485,"3",Bahn - Überland/Berg,1,"30-60 Minuten"
219,SBG, SBG SüdbadenBus GmbH,Bus Südbaden,473,"1",Bus - Überland/Berg,1,"30-60 Minuten"
220,RhB, Rhätische Bahn AG  (RhB),Rhätische Bahn,464,"4",Bahn - Überland/Regionalverkehr,10,"60+ Minuten"
221,ARAG, Rottal Auto AG,Bus Rottal,445,"1",Bus - Überland/Berg,8,"5-15 Minuten"
222,BOB, Berner Oberland-Bahnen AG,Berner Oberbland,441,"3",Bahn - Überland/Berg,2,"15-30 Minuten"
223,GWB, Grindelwald Bus AG,Grindelwald Bus,429,"1",Bus - Überland/Berg,3,"5-15 Minuten"
224,asm, Aare Seeland mobil AG,Bus Aare Seeland,398,"1",Bus - Überland/Berg,10,Unter 5 Minuten
225,LLB, Société anonyme des transports publics de Loèche-l,Bus Leuk,392,"1",Bus - Überland/Berg,2,"5-15 Minuten"
226,SZU, Sihltal Zürich Uetliberg Bahn SZU AG,Bahn Sihltal,389,"1",Bus - Überland/Berg,1,"30-60 Minuten"
227,MGB, Matterhorn Gotthard Verkehrs AG,Bahn Matterhorn,388,"3",Bahn - Überland/Berg,2,"60+ Minuten"
228,SNL, SOCIETA' NAVIGAZIONE DEL LAGO DI LUGANO SA,Bus Lugano,371,"4",Bus - Überland/Berg,2,"5-15 Minuten"
229,SNL, SOCIETA' NAVIGAZIONE DEL LAGO DI LUGANO SA,Bus Lugano,353,"4",Bus - Überland/Berg,1,Unter 5 Minuten
230,BWS, Busbetriebe Bamert GmbH,Bus Bamert,351,"1",Bus - Überland/Berg,1,"5-15 Minuten"
231,ABl, Autolinee Bleniesi SA,Bus Bleniesi,347,"1",Bus - Überland/Berg,4,"5-15 Minuten"
232,AVJ, Société anonyme des auto-transports de la Vallée d,Bus AVJ,342,"1",Bus - Überland/Berg,1,Unter 5 Minuten
233,PAG, PostAuto Schweiz AG,PostAuto,340,"1",Bus - Überland/Berg,100,unbekannt
234,SBB, Schweizerische Bundesbahnen SBB,Schweizerische Bundesbahnen,280,"4",Bahn - Überland/Regionalverkehr,15,Unter 5 Minuten
235,BRER, O. Schneider AG,Bus Schneider,277,"1",Bus - Überland/Berg,2,"15-30 Minuten"
236,AFA, Automobilverkehr Frutigen-Adelboden AG,Bus Frutigen,272,"1",Bus - Überland/Berg,5,"5-15 Minuten"
237,BOS, BUS Ostschweiz AG,BUS Ostschweiz,271,"1",Bus - Überland/Berg,21,unbekannt
238,BRER, O. Schneider AG,Bus Schneider,271,"1",Bus - Überland/Berg,2,"30-60 Minuten"
239,BRER, O. Schneider AG,Bus Schneider,271,"1",Bus - Überland/Berg,3,"5-15 Minuten"
